pref,week,infectious_l1,infectious_l2,sum_pop,pop_resid
Gunma,2019-12-30,0,0,2051913,1942000
Gunma,2020-01-06,0,0,1970025,1942000
Gunma,2020-01-13,0,0.006828577458592507,1965557,1942000
Gunma,2020-01-20,0.004146178096257953,0.006514661974478361,1967418,1942000
Gunma,2020-01-27,0.006211413537686222,0.005447173104240113,1968597,1942000
Gunma,2020-02-03,0.0053095229571769615,0.0283951418094126,1967183,1942000
Gunma,2020-02-10,0.031206498011201275,0.08890249036875088,1973630,1942000
Gunma,2020-02-17,0.0953494182298374,0.11506378799620924,1982478,1942000
Gunma,2020-02-24,0.1250902066165574,1.1694508083235045,1980774,1942000
Gunma,2020-03-02,1.1583981807577666,5.173902272636341,1975256,1942000
Gunma,2020-03-09,5.146283421487578,10.06775788350578,1974374,1942000
Gunma,2020-03-16,10.051973772443574,13.551936520993166,1986549,1942000
Gunma,2020-03-23,13.766462727757792,17.505350295987178,1975586,1942000
Gunma,2020-03-30,17.151787285933892,74.72729782849025,1967710,1942000
Gunma,2020-04-06,73.82601048545607,98.37194867250307,1972124,1942000
Gunma,2020-04-13,97.9139318900339,53.72817287014017,1978344,1942000
Gunma,2020-04-20,53.574664837903455,25.90493163477505,1974279,1942000
Gunma,2020-04-27,25.857087684445045,7.3055075641261435,1973922,1942000
Gunma,2020-05-04,7.2709608742973035,1.761423308851782,1971119,1942000
Gunma,2020-05-11,1.7349776235701377,2.335795820663029,1971121,1942000
Gunma,2020-05-18,2.323501140577058,2.1879925528696265,1974935,1942000
Gunma,2020-05-25,2.2002176821833537,2.184747932142217,1973313,1942000
Gunma,2020-06-01,2.194975629227475,2.278986004425834,1971661,1942000
Gunma,2020-06-08,2.31175054385628,0.4988857247578511,1970623,1942000
Gunma,2020-06-15,0.5278827891103219,2.0231444573516835,1974242,1942000
Gunma,2020-06-22,2.141192527355694,6.271106493287496,1979049,1942000
Gunma,2020-06-29,6.458382817480458,7.403021464735268,1969072,1942000
Gunma,2020-07-06,7.1797432437407736,18.100989035131608,1971972,1942000
Gunma,2020-07-13,18.03148745246731,31.20847861260082,1976549,1942000
Gunma,2020-07-20,31.59032671014261,34.5937638461926,1984348,1942000
Gunma,2020-07-27,36.676095823716174,60.165871889139304,1972168,1942000
Gunma,2020-08-03,60.20472115751772,116.00382556863346,1994398,1942000
Gunma,2020-08-10,115.56057958493108,159.31033799624944,2003490,1942000
Gunma,2020-08-17,161.98736551400657,146.57449860389616,1980373,1942000
Gunma,2020-08-24,145.8930924109192,108.59253975887712,1979358,1942000
Gunma,2020-08-31,106.53633099839116,112.6992180168881,1975683,1942000
Gunma,2020-09-07,112.32331311998078,180.462779766211,1977278,1942000
Gunma,2020-09-14,180.20710621659993,152.1366818798565,1991883,1942000
Gunma,2020-09-21,152.96098112580307,69.84258516140889,2000272,1942000
Gunma,2020-09-28,71.04352330746048,67.30474056748986,1984173,1942000
Gunma,2020-10-05,66.55583733101217,53.80436795317095,1979616,1942000
Gunma,2020-10-12,52.49568748763017,111.40946062198132,1984994,1942000
Gunma,2020-10-19,111.36966026003982,129.65125523371654,1991543,1942000
Gunma,2020-10-26,130.13748598793418,66.35198381167639,1989742,1942000
Gunma,2020-11-02,66.82275837126144,69.21463500854271,1987862,1942000
Gunma,2020-11-09,68.85956057055293,139.0957649755796,1988682,1942000
Gunma,2020-11-16,138.52836992081035,255.83067508794574,1988286,1942000
Gunma,2020-11-23,256.204722776535,356.98634610133735,1979649,1942000
Gunma,2020-11-30,356.0073037854641,469.0546950729603,1973423,1942000
Gunma,2020-12-07,466.4549778494139,554.4485187096539,1979357,1942000
Gunma,2020-12-14,554.7924912083834,537.7558477614459,1978850,1942000
Gunma,2020-12-21,538.7957815756703,509.4703983553868,1986151,1942000
Gunma,2020-12-28,510.2523483105221,752.0365941905279,2021273,1942000
Gunma,2021-01-04,777.5026407029461,969.5888176837993,1975377,1942000
Gunma,2021-01-11,965.0085066635324,812.3302973010741,1980187,1942000
Gunma,2021-01-18,781.523704160335,613.1827129625111,1979009,1942000
Gunma,2021-01-25,611.2322702267948,530.1421519465829,1983445,1942000
Gunma,2021-02-01,530.976517644193,411.34971672521226,1979860,1942000
Gunma,2021-02-08,411.91250028500957,272.8980902918556,1990839,1942000
Gunma,2021-02-15,274.0496442446783,247.4637094272255,1989689,1942000
Gunma,2021-02-22,248.50368961572283,236.1548443366207,1987248,1942000
Gunma,2021-03-01,235.7948621624752,203.7443758391085,1985483,1942000
Gunma,2021-03-08,203.41103568938578,231.09085337696996,1979695,1942000
Gunma,2021-03-15,230.56201323337035,262.63557266393707,1984800,1942000
Gunma,2021-03-22,262.9411034961688,307.1391480258489,1978784,1942000
Gunma,2021-03-29,307.72993909533767,336.37254430435996,1977980,1942000
Gunma,2021-04-05,336.1323314130285,389.40118708421227,1974585,1942000
Gunma,2021-04-12,388.62948945587755,484.1291452974878,1979396,1942000
Gunma,2021-04-19,483.6871152275623,709.7467943568261,1974754,1942000
Gunma,2021-04-26,708.0860908769806,983.8136187154346,1990324,1942000
Gunma,2021-05-03,986.9129688523498,1036.469576390496,1998078,1942000
Gunma,2021-05-10,1043.5411492106587,897.7761909862897,1980797,1942000
Gunma,2021-05-17,895.1867899366615,628.809273140041,1978697,1942000
Gunma,2021-05-24,623.6890964213368,352.1221544500865,1973138,1942000
Gunma,2021-05-31,351.19756981461984,183.38346908191636,1971760,1942000
Gunma,2021-06-07,182.40677336351982,101.6032042861028,1975535,1942000
Gunma,2021-06-14,101.99030013211456,0,1974744,1942000
Ibaraki,2019-12-30,0,0,2871890,2860000
Ibaraki,2020-01-06,0,0,2827837,2860000
Ibaraki,2020-01-13,0,0.00778228465907845,2838112,2860000
Ibaraki,2020-01-20,0.005014471171364615,0.013936949881969668,2825948,2860000
Ibaraki,2020-01-27,0.013875351181920872,0.02445700921315494,2836620,2860000
Ibaraki,2020-02-03,0.024239326991493993,0.05380514230141272,2827199,2860000
Ibaraki,2020-02-10,0.05580723119639676,0.14555831872713665,2832301,2860000
Ibaraki,2020-02-17,0.14312223088576037,0.18187222225563818,2838767,2860000
Ibaraki,2020-02-24,0.1875141926106679,0.2875972662908226,2859256,2860000
Ibaraki,2020-03-02,0.2796377826176155,0.4913870450004984,2872277,2860000
Ibaraki,2020-03-09,0.47295581138407644,4.424380540516032,2871333,2860000
Ibaraki,2020-03-16,4.42605090515654,17.238204627144583,2884111,2860000
Ibaraki,2020-03-23,17.454011839844632,61.589832056276755,2870132,2860000
Ibaraki,2020-03-30,61.445253025833885,96.36715371107717,2876018,2860000
Ibaraki,2020-04-06,95.8008738531593,81.04708169843471,2884750,2860000
Ibaraki,2020-04-13,80.4902087680393,57.00877386568168,2901326,2860000
Ibaraki,2020-04-20,56.572008015708505,29.076291588731536,2903365,2860000
Ibaraki,2020-04-27,28.944183294131594,8.846403154742585,2903315,2860000
Ibaraki,2020-05-04,8.844138223263217,3.9944964967185754,2900861,2860000
Ibaraki,2020-05-11,4.012258249882299,0.5891249653660308,2899821,2860000
Ibaraki,2020-05-18,0.5934980916718308,0.38519416492792,2900399,2860000
Ibaraki,2020-05-25,0.4143634648300262,0.4554798081651226,2897934,2860000
Ibaraki,2020-06-01,0.4830755210396125,0.6221739047123005,2885364,2860000
Ibaraki,2020-06-08,0.669647104562719,2.7382444503267798,2881468,2860000
Ibaraki,2020-06-15,2.7731031886465636,6.270872774290997,2880287,2860000
Ibaraki,2020-06-22,6.41700791514153,15.761759472458928,2876527,2860000
Ibaraki,2020-06-29,15.862137890293841,30.969906195732264,2868177,2860000
Ibaraki,2020-07-06,30.75913109322404,49.334349736900826,2868138,2860000
Ibaraki,2020-07-13,49.322175024781146,52.79641272633255,2872777,2860000
Ibaraki,2020-07-20,52.801922284801165,107.32786563588284,2888484,2860000
Ibaraki,2020-07-27,108.71061838326209,168.07485329711383,2884234,2860000
Ibaraki,2020-08-03,168.58934262085108,144.1726170727363,2881062,2860000
Ibaraki,2020-08-10,143.8120096757771,117.93487661644762,2873740,2860000
Ibaraki,2020-08-17,119.58184975000778,104.4466418496508,2875530,2860000
Ibaraki,2020-08-24,104.14682803941353,89.65083418859899,2869012,2860000
Ibaraki,2020-08-31,88.106857016576,75.3266729643609,2872357,2860000
Ibaraki,2020-09-07,74.8675079970817,50.091943813141135,2874624,2860000
Ibaraki,2020-09-14,50.232366629605856,35.19896931994992,2868479,2860000
Ibaraki,2020-09-21,36.16847405205112,60.50509848448111,2880941,2860000
Ibaraki,2020-09-28,61.594222614018975,80.93810764963571,2867270,2860000
Ibaraki,2020-10-05,80.49601529286002,63.055873285110216,2863171,2860000
Ibaraki,2020-10-12,61.59391835312182,42.65048916388883,2865266,2860000
Ibaraki,2020-10-19,42.794803923306844,52.17865595298411,2870848,2860000
Ibaraki,2020-10-26,53.2131503800362,87.87552245677905,2860666,2860000
Ibaraki,2020-11-02,87.84841259198123,206.499394711693,2873181,2860000
Ibaraki,2020-11-09,206.97026694810398,439.98297830562825,2876286,2860000
Ibaraki,2020-11-16,440.8988765785391,575.1479776089188,2876104,2860000
Ibaraki,2020-11-23,575.5426604395526,585.3488971384749,2881169,2860000
Ibaraki,2020-11-30,585.8746355078729,467.79433411494364,2872302,2860000
Ibaraki,2020-12-07,466.0424896452233,333.48843249544586,2879249,2860000
Ibaraki,2020-12-14,332.63396904293853,361.28142324011924,2875588,2860000
Ibaraki,2020-12-21,361.4872701234963,477.0267553797538,2869245,2860000
Ibaraki,2020-12-28,475.05282429219557,899.7988199649919,2888558,2860000
Ibaraki,2021-01-04,918.3278041287539,1345.0131547200026,2884569,2860000
Ibaraki,2021-01-11,1348.559948871306,1305.0334807623785,2894679,2860000
Ibaraki,2021-01-18,1290.2239803566772,1055.7259446269707,2881460,2860000
Ibaraki,2021-01-25,1054.3397033752055,809.6475521643372,2887111,2860000
Ibaraki,2021-02-01,808.6536013789927,569.887290161562,2884125,2860000
Ibaraki,2021-02-08,571.3457726383388,453.60661687614044,2883544,2860000
Ibaraki,2021-02-15,453.415305605234,398.519639089484,2879230,2860000
Ibaraki,2021-02-22,398.4518344528638,418.76171186714606,2883923,2860000
Ibaraki,2021-03-01,418.88968591475617,438.6748165182909,2883006,2860000
Ibaraki,2021-03-08,438.84381008252535,420.3909293837227,2882727,2860000
Ibaraki,2021-03-15,420.38474072048444,477.3990281033981,2881766,2860000
Ibaraki,2021-03-22,477.3476199197619,491.55120073463405,2885783,2860000
Ibaraki,2021-03-29,493.0197947104851,482.68647764179354,2885925,2860000
Ibaraki,2021-04-05,484.50139843254556,579.5389096523605,2881159,2860000
Ibaraki,2021-04-12,578.8982722449132,795.5873241909462,2888258,2860000
Ibaraki,2021-04-19,795.766881583006,865.8681575556415,2893962,2860000
Ibaraki,2021-04-26,867.606798457623,720.404549575263,2895146,2860000
Ibaraki,2021-05-03,722.7863942150714,788.7526415742896,2911215,2860000
Ibaraki,2021-05-10,794.7068063340349,876.4453448908247,2883878,2860000
Ibaraki,2021-05-17,872.9022138156259,732.9239147438888,2885939,2860000
Ibaraki,2021-05-24,725.3012902633909,542.8563200796381,2893894,2860000
Ibaraki,2021-05-31,543.5026027589435,434.1898813366541,2886116,2860000
Ibaraki,2021-06-07,434.13911952360615,363.7558568919178,2883214,2860000
Ibaraki,2021-06-14,363.4201666808661,0,2886654,2860000
Nagano,2019-12-30,0,0,2315982,2049000
Nagano,2020-01-06,0,0,2130881,2049000
Nagano,2020-01-13,0,0.011142384540075042,2120306,2049000
Nagano,2020-01-20,0.0065685487389175665,0.01211712768642573,2113866,2049000
Nagano,2020-01-27,0.011800272200054026,0.00927048339455383,2121067,2049000
Nagano,2020-02-03,0.009105618462778572,0.04074524158091927,2140727,2049000
Nagano,2020-02-10,0.048431578901878804,0.1304437247872893,2141422,2049000
Nagano,2020-02-17,0.13600987032120365,2.143110689792786,2158987,2049000
Nagano,2020-02-24,2.1433189992413824,3.3574348381185373,2141839,2049000
Nagano,2020-03-02,3.302096551396311,2.620428615526839,2128251,2049000
Nagano,2020-03-09,2.503949232404554,1.5750477252257005,2125260,2049000
Nagano,2020-03-16,1.5093798286109115,5.016382783709966,2150739,2049000
Nagano,2020-03-23,5.367415709230243,11.355049004203392,2115167,2049000
Nagano,2020-03-30,10.70057950701012,26.4916453394095,2100567,2049000
Nagano,2020-04-06,24.557669578610735,44.63590687593747,2100834,2049000
Nagano,2020-04-13,43.480921435603584,39.87465298658034,2097832,2049000
Nagano,2020-04-20,39.542841200202,19.795291840027996,2100844,2049000
Nagano,2020-04-27,19.669563632974988,9.987824713218851,2105400,2049000
Nagano,2020-05-04,10.004720814732005,6.491482753219167,2104381,2049000
Nagano,2020-05-11,6.528444806066267,1.2677120455152329,2102127,2049000
Nagano,2020-05-18,1.2440702958760432,0.18033843924333118,2102344,2049000
Nagano,2020-05-25,0.16885201352219995,0.20627971948834764,2099097,2049000
Nagano,2020-06-01,0.20265830899496154,0.2446807693952453,2104251,2049000
Nagano,2020-06-08,0.3082077021346677,1.3812674179558624,2101847,2049000
Nagano,2020-06-15,1.4071840177136983,1.5840198009776443,2111630,2049000
Nagano,2020-06-22,1.6832935413806314,1.2912535004920929,2114271,2049000
Nagano,2020-06-29,1.479539890476695,3.678793201513749,2108921,2049000
Nagano,2020-07-06,3.767112128950039,11.234845641024085,2106787,2049000
Nagano,2020-07-13,11.184065538016293,19.843171511875923,2112823,2049000
Nagano,2020-07-20,19.89412954526766,41.53803021808785,2170827,2049000
Nagano,2020-07-27,47.71592216217446,56.870663830476296,2129845,2049000
Nagano,2020-08-03,58.1267536558456,49.68430113608305,2178406,2049000
Nagano,2020-08-10,48.13845900753343,55.40081360477997,2258628,2049000
Nagano,2020-08-17,65.40863863166211,120.50825698298739,2140689,2049000
Nagano,2020-08-24,120.79636121716742,129.9041479825009,2140545,2049000
Nagano,2020-08-31,123.44456400245213,55.11032140708166,2122705,2049000
Nagano,2020-09-07,53.95938420834142,21.41472736721184,2129410,2049000
Nagano,2020-09-14,20.587720227533932,14.975371734648302,2180532,2049000
Nagano,2020-09-21,17.169878168483713,20.217716028962425,2188308,2049000
Nagano,2020-09-28,22.804838205256893,26.39894301031449,2134819,2049000
Nagano,2020-10-05,24.557664077535332,22.587773199358704,2136609,2049000
Nagano,2020-10-12,20.080264467748634,21.321279891361588,2145807,2049000
Nagano,2020-10-19,21.67919335935791,25.483664067446192,2153355,2049000
Nagano,2020-10-26,26.43847993541605,47.42133803206578,2146844,2049000
Nagano,2020-11-02,47.544332307200634,133.62738905031,2139052,2049000
Nagano,2020-11-09,132.79049453071497,257.0804716173115,2128967,2049000
Nagano,2020-11-16,254.85329647302657,265.12316318879243,2141146,2049000
Nagano,2020-11-23,265.20189675810525,222.46038071084752,2122637,2049000
Nagano,2020-11-30,221.14948486569935,280.50484356234693,2103961,2049000
Nagano,2020-12-07,273.64667352050435,265.0686037970282,2109783,2049000
Nagano,2020-12-14,261.88974342302134,191.9625417271157,2117605,2049000
Nagano,2020-12-21,193.8521922660179,224.8929971577316,2129002,2049000
Nagano,2020-12-28,229.5023184335544,534.0483253172583,2212831,2049000
Nagano,2021-01-04,590.2608200528169,864.1008163605783,2115767,2049000
Nagano,2021-01-11,865.9334199898881,683.4555506066844,2107100,2049000
Nagano,2021-01-18,624.3875406142572,338.65374304517036,2110652,2049000
Nagano,2021-01-25,329.9909162495988,172.49613993419402,2112647,2049000
Nagano,2021-02-01,172.48573581467758,71.50468769681099,2114767,2049000
Nagano,2021-02-08,71.94365398649333,34.20327135898972,2140486,2049000
Nagano,2021-02-15,36.56696411939447,30.476622632099907,2134311,2049000
Nagano,2021-02-22,32.98700123991878,28.445676012261142,2133706,2049000
Nagano,2021-03-01,28.80332455004788,65.73964300553446,2119236,2049000
Nagano,2021-03-08,65.03701970005463,170.11861220804144,2138214,2049000
Nagano,2021-03-15,170.34827741197412,307.5998319510584,2128120,2049000
Nagano,2021-03-22,308.1393475620758,420.2255865802022,2127371,2049000
Nagano,2021-03-29,419.7253468108703,511.6137141052956,2121722,2049000
Nagano,2021-04-05,509.7696228700908,597.9155013087612,2115193,2049000
Nagano,2021-04-12,594.0913747786328,566.4422065794391,2108653,2049000
Nagano,2021-04-19,562.5902256076436,449.0094190061907,2117194,2049000
Nagano,2021-04-26,448.5485602419027,416.9235155676713,2160789,2049000
Nagano,2021-05-03,432.0043030005758,491.2358102081598,2179337,2049000
Nagano,2021-05-10,512.7465908939896,583.9898027096958,2102470,2049000
Nagano,2021-05-17,569.3695780306699,476.9869609825861,2108933,2049000
Nagano,2021-05-24,455.3515857574336,276.1351180518316,2114428,2049000
Nagano,2021-05-31,277.5356377105988,174.3809493379579,2113630,2049000
Nagano,2021-06-07,174.4698947856787,111.27429236206575,2119116,2049000
Nagano,2021-06-14,111.61211449074783,0,2116368,2049000
Shizuoka,2019-12-30,0,0,3921264,3644000
Shizuoka,2020-01-06,0,0,3733109,3644000
