week,type,sales_per
2018-12-31,actual,829769.4444444444
2018-12-31,counterfactual,785147.6851524899
2018-12-31,fitted,785147.6851524967
2019-01-07,actual,760863.6111111111
2019-01-07,counterfactual,785194.4098738749
2019-01-07,fitted,785194.409873817
2019-01-14,actual,781824.6666666666
2019-01-14,counterfactual,782437.8532283704
2019-01-14,fitted,782437.8532282421
2019-01-21,actual,778961.1666666667
2019-01-21,counterfactual,791333.3351341006
2019-01-21,fitted,791333.3351341065
2019-01-28,actual,729078.3888888889
2019-01-28,counterfactual,740367.1046453976
2019-01-28,fitted,740367.1046453932
2019-02-04,actual,749918.8333333334
2019-02-04,counterfactual,806251.7626517242
2019-02-04,fitted,806251.7626516871
2019-02-11,actual,751880.8333333333
2019-02-11,counterfactual,807951.3651360585
2019-02-11,fitted,807951.365136014
2019-02-18,actual,769478.2222222222
2019-02-18,counterfactual,817631.9704229434
2019-02-18,fitted,817631.9704229335
2019-02-25,actual,764000.0555555556
2019-02-25,counterfactual,823367.6259055848
2019-02-25,fitted,823367.625905552
2019-03-04,actual,827634
2019-03-04,counterfactual,835232.9025746807
2019-03-04,fitted,835232.9025746423
2019-03-11,actual,888438.2777777778
2019-03-11,counterfactual,904124.0282293089
2019-03-11,fitted,904124.0282293096
2019-03-18,actual,1009607.1666666667
2019-03-18,counterfactual,1006629.5825560518
2019-03-18,fitted,1006629.5825560704
2019-03-25,actual,1038388.1111111111
2019-03-25,counterfactual,1010566.5341913045
2019-03-25,fitted,1010566.5341912571
2019-04-01,actual,858904.6666666666
2019-04-01,counterfactual,811426.0624280813
2019-04-01,fitted,811426.0624280266
2019-04-08,actual,799798.3888888889
2019-04-08,counterfactual,823452.4124282694
2019-04-08,fitted,823452.412428249
2019-04-15,actual,897512.1666666666
2019-04-15,counterfactual,867164.9741730898
2019-04-15,fitted,867164.97417302
2019-04-22,actual,955031.3333333334
2019-04-22,counterfactual,939736.9525725235
2019-04-22,fitted,939736.9525724913
2019-04-29,actual,1345340.6111111112
2019-04-29,counterfactual,1323782.8799636876
2019-04-29,fitted,1323782.879963606
2019-05-06,actual,805037.1111111111
2019-05-06,counterfactual,752381.1869336194
2019-05-06,fitted,752381.1869336026
2019-05-13,actual,828147
2019-05-13,counterfactual,789673.6429100985
2019-05-13,fitted,789673.6429100949
2019-05-20,actual,772953.0555555555
2019-05-20,counterfactual,793841.8970634739
2019-05-20,fitted,793841.8970633855
2019-05-27,actual,792000.5
2019-05-27,counterfactual,806963.6511534232
2019-05-27,fitted,806963.6511533335
2019-06-03,actual,777806.3888888889
2019-06-03,counterfactual,769469.0267508434
2019-06-03,fitted,769469.0267508144
2019-06-10,actual,826038.3333333334
2019-06-10,counterfactual,817294.4405867275
2019-06-10,fitted,817294.4405866815
2019-06-17,actual,837726.7777777778
2019-06-17,counterfactual,832840.1874721282
2019-06-17,fitted,832840.1874720851
2019-06-24,actual,841229.5
2019-06-24,counterfactual,868750.2103607943
2019-06-24,fitted,868750.210360729
2019-07-01,actual,781339.5555555555
2019-07-01,counterfactual,793926.7895422375
2019-07-01,fitted,793926.7895422125
2019-07-08,actual,837980.8333333333
2019-07-08,counterfactual,888720.4933144704
2019-07-08,fitted,888720.4933144434
2019-07-15,actual,829787.111111111
2019-07-15,counterfactual,849748.9895738898
2019-07-15,fitted,849748.9895738536
2019-07-22,actual,883633.2777777778
2019-07-22,counterfactual,887562.779913565
2019-07-22,fitted,887562.7799135394
2019-07-29,actual,876092.8888888889
2019-07-29,counterfactual,859200.4242881138
2019-07-29,fitted,859200.4242880753
2019-08-05,actual,1014256.1111111111
2019-08-05,counterfactual,984086.2008987641
2019-08-05,fitted,984086.2008987163
2019-08-12,actual,1263228.5
2019-08-12,counterfactual,1153467.7965329455
2019-08-12,fitted,1153467.7965328603
2019-08-19,actual,889084.7222222222
2019-08-19,counterfactual,842102.2971244028
2019-08-19,fitted,842102.2971243588
2019-08-26,actual,887949.2222222222
2019-08-26,counterfactual,849837.1794347351
2019-08-26,fitted,849837.1794346749
2019-09-02,actual,842164.6666666666
2019-09-02,counterfactual,750487.2911720829
2019-09-02,fitted,750487.2911720475
2019-09-09,actual,871193.3333333333
2019-09-09,counterfactual,836352.7761819713
2019-09-09,fitted,836352.7761819161
2019-09-16,actual,923742.2222222222
2019-09-16,counterfactual,848106.3149973074
2019-09-16,fitted,848106.3149972936
2019-09-23,actual,896451.3888888889
2019-09-23,counterfactual,840687.0601196976
2019-09-23,fitted,840687.0601196623
2019-09-30,actual,778115.7222222222
2019-09-30,counterfactual,770874.3371106359
2019-09-30,fitted,770874.3371106155
2019-10-07,actual,591559.5555555555
2019-10-07,counterfactual,592577.8526628487
2019-10-07,fitted,592577.8526628138
2019-10-14,actual,766942.1111111111
2019-10-14,counterfactual,764452.3018227222
2019-10-14,fitted,764452.301822685
2019-10-21,actual,879103.6666666666
2019-10-21,counterfactual,830362.9406640147
2019-10-21,fitted,830362.9406639775
2019-10-28,actual,864188.4444444445
2019-10-28,counterfactual,839326.835306655
2019-10-28,fitted,839326.8353066487
2019-11-04,actual,873351.2777777778
2019-11-04,counterfactual,798334.1137665175
2019-11-04,fitted,798334.1137664937
2019-11-11,actual,872799.5
2019-11-11,counterfactual,807979.0975640985
2019-11-11,fitted,807979.0975640328
2019-11-18,actual,938551.8888888889
2019-11-18,counterfactual,848574.0651180914
2019-11-18,fitted,848574.0651180737
2019-11-25,actual,911316.1111111111
2019-11-25,counterfactual,855538.0694798579
2019-11-25,fitted,855538.069479787
2019-12-02,actual,889358.4444444445
2019-12-02,counterfactual,895092.6183971836
2019-12-02,fitted,895092.6183971416
2019-12-09,actual,988296.3888888889
2019-12-09,counterfactual,1016152.7706223314
2019-12-09,fitted,1016152.7706222538
2019-12-16,actual,1072907.6666666665
2019-12-16,counterfactual,1063410.8316062472
2019-12-16,fitted,1063410.831606183
2019-12-23,actual,1173657.2222222222
2019-12-23,counterfactual,1189791.0568488406
2019-12-23,fitted,1189791.0568487388
2019-12-30,actual,1045115.1111111111
2019-12-30,counterfactual,987077.5327334824
2019-12-30,fitted,987077.5327334539
2020-01-06,actual,688769.4444444444
2020-01-06,counterfactual,772391.874578929
2020-01-06,fitted,772391.8745789025
2020-01-13,actual,762457.0555555555
2020-01-13,counterfactual,801134.8381214753
2020-01-13,fitted,801134.8381214364
2020-01-20,actual,786004.7777777778
2020-01-20,counterfactual,826943.3549676478
2020-01-20,fitted,826943.3549676174
2020-01-27,actual,688467.4444444445
2020-01-27,counterfactual,784040.7281170995
2020-01-27,fitted,784040.7281170697
2020-02-03,actual,737277.111111111
2020-02-03,counterfactual,764434.1098790718
2020-02-03,fitted,764434.1098789995
2020-02-10,actual,768174
2020-02-10,counterfactual,817723.2091324888
2020-02-10,fitted,817723.2091324686
2020-02-17,actual,758851.2777777778
2020-02-17,counterfactual,839070.1667748258
2020-02-17,fitted,839070.1667747947
2020-02-24,actual,729938.2222222222
2020-02-24,counterfactual,733516.9417436355
2020-02-24,fitted,733516.9417436012
2020-03-02,actual,582680.0555555556
2020-03-02,counterfactual,614922.9003019743
2020-03-02,fitted,614922.900301944
2020-03-09,actual,632939.8333333333
2020-03-09,counterfactual,677957.122849701
2020-03-09,fitted,677957.1228496804
2020-03-16,actual,829117.5555555555
2020-03-16,counterfactual,813615.021183832
2020-03-16,fitted,813615.0211837929
2020-03-23,actual,699792.3888888889
2020-03-23,counterfactual,705800.8288919554
2020-03-23,fitted,705800.8288919169
2020-03-30,actual,367614
2020-03-30,counterfactual,431100.5308211486
2020-03-30,fitted,431100.5308211295
2020-04-06,actual,263449
2020-04-06,counterfactual,299151.01257786516
2020-04-06,fitted,299151.0125778505
2020-04-13,actual,211969.44444444444
2020-04-13,counterfactual,232919.24993658307
2020-04-13,fitted,232919.24993657778
2020-04-20,actual,256301.38888888888
2020-04-20,counterfactual,224055.30007938738
2020-04-20,fitted,224055.300079386
2020-04-27,actual,271178.72222222225
2020-04-27,counterfactual,243125.9151982515
2020-04-27,fitted,243125.91519824977
2020-05-04,actual,344240.1111111111
2020-05-04,counterfactual,320272.8650644352
2020-05-04,fitted,320272.86506443354
2020-05-11,actual,292569.1666666666
2020-05-11,counterfactual,308677.4822060328
2020-05-11,fitted,308677.48220602213
2020-05-18,actual,301035.6666666667
2020-05-18,counterfactual,351537.5814621537
2020-05-18,fitted,351537.581462136
2020-05-25,actual,372561.77777777775
2020-05-25,counterfactual,435678.46778366325
2020-05-25,fitted,435678.46778364154
2020-06-01,actual,436438.5
2020-06-01,counterfactual,486822.8905329582
2020-06-01,fitted,486822.89053293446
2020-06-08,actual,486657.72222222225
2020-06-08,counterfactual,538838.1601151767
2020-06-08,fitted,538838.1601151567
2020-06-15,actual,620249.6111111111
2020-06-15,counterfactual,639205.8070168681
2020-06-15,fitted,639205.8070168422
2020-06-22,actual,654643.8333333334
2020-06-22,counterfactual,668128.9637838101
2020-06-22,fitted,668128.963783785
2020-06-29,actual,631855.4444444445
2020-06-29,counterfactual,637185.6038305153
2020-06-29,fitted,637185.6038304836
2020-07-06,actual,636629.8888888889
2020-07-06,counterfactual,643264.6755376803
2020-07-06,fitted,643264.675537651
2020-07-13,actual,619590.5
2020-07-13,counterfactual,636560.3989043838
2020-07-13,fitted,648961.4413422946
2020-07-20,actual,865614.6666666666
2020-07-20,counterfactual,776793.693073115
2020-07-20,fitted,802945.8155063583
2020-07-27,actual,608767.2222222222
2020-07-27,counterfactual,568573.034832286
2020-07-27,fitted,597057.5182612877
2020-08-03,actual,715800.8888888889
2020-08-03,counterfactual,621894.9889280773
2020-08-03,fitted,666971.5549642723
2020-08-10,actual,986550.6666666667
2020-08-10,counterfactual,823889.9008496127
2020-08-10,fitted,891595.7816467653
2020-08-17,actual,660192.5555555555
2020-08-17,counterfactual,569547.3101469603
2020-08-17,fitted,619974.9369043796
2020-08-24,actual,691681.8888888889
2020-08-24,counterfactual,587640.0507758132
2020-08-24,fitted,642038.546899524
2020-08-31,actual,668081.7222222222
2020-08-31,counterfactual,559012.9946313867
2020-08-31,fitted,613370.1376825741
2020-09-07,actual,708169.2222222222
2020-09-07,counterfactual,600211.4993362023
2020-09-07,fitted,662115.1823877305
2020-09-14,actual,813819.7777777779
2020-09-14,counterfactual,701827.9413577529
2020-09-14,fitted,777703.2957860241
2020-09-21,actual,953379.4444444445
2020-09-21,counterfactual,740565.8950142413
2020-09-21,fitted,823211.1278944953
2020-09-28,actual,715983.0555555555
2020-09-28,counterfactual,650599.6750970032
2020-09-28,fitted,726490.5182060918
2020-10-05,actual,696299.2222222222
2020-10-05,counterfactual,617299.3430562658
2020-10-05,fitted,692403.0598772422
2020-10-12,actual,821244
2020-10-12,counterfactual,685997.4725331084
2020-10-12,fitted,772451.2086583746
2020-10-19,actual,815289.4444444444
2020-10-19,counterfactual,703330.6151053247
2020-10-19,fitted,794806.632181657
2020-10-26,actual,879368.0555555556
2020-10-26,counterfactual,723859.916861505
2020-10-26,fitted,820282.8296507793
2020-11-02,actual,878047.9444444445
2020-11-02,counterfactual,732459.3107558909
2020-11-02,fitted,832064.0427700474
2020-11-09,actual,811013
2020-11-09,counterfactual,698075.4116877753
2020-11-09,fitted,794987.3396475506
2020-11-16,actual,885165.2222222222
2020-11-16,counterfactual,726241.6112418169
2020-11-16,fitted,828836.5126942964
2020-11-23,actual,769754
2020-11-23,counterfactual,648196.2647972535
2020-11-23,fitted,741116.8093429187
2020-11-30,actual,634416.3333333333
2020-11-30,counterfactual,573422.9458274695
2020-11-30,fitted,656689.1094616996
2020-12-07,actual,671352.3333333334
2020-12-07,counterfactual,616252.9013143182
2020-12-07,fitted,706394.2693142163
2020-12-14,actual,664063.2222222222
2020-12-14,counterfactual,612181.689464667
2020-12-14,fitted,702127.54039299
2020-12-21,actual,774077.5
2020-12-21,counterfactual,683659.1909348757
2020-12-21,fitted,784573.9088599896
2020-12-28,actual,801691.3888888889
2020-12-28,counterfactual,708678.9609259879
2020-12-28,fitted,813520.3436819325
2021-01-04,actual,529509.1111111111
2021-01-04,counterfactual,463904.54957574146
2021-01-04,fitted,532645.6861199259
2021-01-11,actual,421171.3333333333
2021-01-11,counterfactual,363255.30493725144
2021-01-11,fitted,417307.0908928439
2021-01-18,actual,414847.8333333333
2021-01-18,counterfactual,347337.31006210984
2021-01-18,fitted,399300.116747832
2021-01-25,actual,439859
2021-01-25,counterfactual,397886.93178282276
2021-01-25,fitted,457703.02409420325
2021-02-01,actual,363548
2021-02-01,counterfactual,378015.35151820886
2021-02-01,fitted,435024.8684290739
2021-02-08,actual,544527.3333333334
2021-02-08,counterfactual,487614.5578488078
2021-02-08,fitted,561641.6060227916
2021-02-15,actual,524350
2021-02-15,counterfactual,477309.0595602963
2021-02-15,fitted,550553.1786282116
2021-02-22,actual,635189.4444444444
2021-02-22,counterfactual,578082.1425612122
2021-02-22,fitted,667615.0311895483
2021-03-01,actual,578202.3333333334
2021-03-01,counterfactual,549535.2446016024
2021-03-01,fitted,635521.7022044351
2021-03-08,actual,655856.6111111111
2021-03-08,counterfactual,615370.138324897
2021-03-08,fitted,712568.6656330398
2021-03-15,actual,740120.5
2021-03-15,counterfactual,675903.074940034
2021-03-15,fitted,783629.8898454331
2021-03-22,actual,840517.7222222222
2021-03-22,counterfactual,717691.1800958702
2021-03-22,fitted,833060.90100233
2021-03-29,actual,740582.2222222222
2021-03-29,counterfactual,642937.9297001426
2021-03-29,fitted,746909.3767559258
2021-04-05,actual,638266.3333333333
2021-04-05,counterfactual,556971.8003402711
2021-04-05,fitted,647627.8161407743
2021-04-12,actual,576626.4444444445
2021-04-12,counterfactual,534446.3662063018
2021-04-12,fitted,622076.7605499103
2021-04-19,actual,646693.9444444445
2021-04-19,counterfactual,560969.4203757119
2021-04-19,fitted,653499.4083809099
2021-04-26,actual,403516.2222222222
2021-04-26,counterfactual,381083.4622979558
2021-04-26,fitted,444124.3670726566
