pref,week_JP,in_city,in_pref,out_pref,weeknum
Yamanashi,2020年1月第1週,-0.168373814,-7.810716954,5.259046747,1
Yamanashi,2020年1月第2週,-2.453649778,-5.374092558,10.694331466,2
Yamanashi,2020年1月第3週,-2.422890782,-2.457260001,7.603616863,3
Yamanashi,2020年1月第4週,-3.627933802,-0.766221475,6.312064131,4
Yamanashi,2020年1月第5週,-1.802709241,-3.130702504,7.309811561,5
Yamanashi,2020年2月第1週,0.931750448,-2.103237637,-6.363874632,6
Yamanashi,2020年2月第2週,0.528107033,-1.331027586,-8.25039658,7
Yamanashi,2020年2月第3週,1.378723311,-3.178600985,16.012208646,8
Yamanashi,2020年2月第4週,3.546485796,-9.724171287,-3.632889072,9
Yamanashi,2020年3月第1週,3.894696641,-7.3187638,-21.148887291,10
Yamanashi,2020年3月第2週,5.225883907,-8.924800702,-19.662793939,11
Yamanashi,2020年3月第3週,3.502589899,-5.949927243,-2.296158036,12
Yamanashi,2020年3月第4週,5.639782692,-9.445623204,-33.168818199,13
Yamanashi,2020年4月第1週,4.624065923,-9.673836492,-34.786024526,14
Yamanashi,2020年4月第2週,8.746732103,-17.89514947,-54.723492039,15
Yamanashi,2020年4月第3週,9.583856815,-19.147072276,-56.37251549,16
Yamanashi,2020年4月第4週,11.879466247,-23.390384452,-68.033248312,17
Yamanashi,2020年4月第5週,17.396114266,-14.959982854,-91.273761942,18
Yamanashi,2020年5月第1週,21.199059206,-46.707597194,-83.640858863,19
Yamanashi,2020年5月第2週,13.518396506,-17.862060397,-65.21992027,20
Yamanashi,2020年5月第3週,12.561120897,-13.971922237,-64.345867322,21
Yamanashi,2020年5月第4週,10.545762763,-10.969834324,-58.985838271,22
Yamanashi,2020年6月第1週,15.598531687,-26.29562908,-78.496162969,23
Yamanashi,2020年6月第2週,15.15431448,-25.386401737,-71.550952076,24
Yamanashi,2020年6月第3週,7.502494057,-8.681050461,-36.453378357,25
Yamanashi,2020年6月第4週,7.572418153,-9.606913074,-25.692181217,26
Yamanashi,2020年7月第1週,4.400515749,-9.239524838,-36.509153208,27
Yamanashi,2020年7月第2週,7.302675934,-10.989223807,-51.684596541,28
Yamanashi,2020年7月第3週,4.707412336,-2.961442075,-46.524023212,29
Yamanashi,2020年7月第4週,7.165073951,-16.455129581,-11.548749516,30
Yamanashi,2020年7月第5週,5.628480345,-5.994129928,-52.307178997,31
Yamanashi,2020年8月第1週,6.003931799,-3.984337048,-41.578277571,32
Yamanashi,2020年8月第2週,6.848601351,-4.328390526,-38.565830278,33
Yamanashi,2020年8月第3週,5.212771199,-7.972464608,-32.926172421,34
Yamanashi,2020年8月第4週,3.882468526,-7.239660379,-38.869355493,35
Yamanashi,2020年9月第1週,4.360944175,-4.187250781,-36.463860069,36
Yamanashi,2020年9月第2週,6.260136878,-4.863405498,-41.039263272,37
Yamanashi,2020年9月第3週,3.395762079,1.711956941,-12.852003344,38
Yamanashi,2020年9月第4週,4.713547732,-9.188205406,16.604016371,39
Yamanashi,2020年10月第1週,2.248008721,-2.23805764,-10.083248116,40
Yamanashi,2020年10月第2週,2.364894903,0.249472761,1.550742013,41
Yamanashi,2020年10月第3週,2.628937064,0.796139886,19.248658888,42
Yamanashi,2020年10月第4週,2.871861697,4.267000112,6.323348383,43
Yamanashi,2020年10月第5週,3.568706027,-2.393551786,-11.046896002,44
Yamanashi,2020年11月第1週,2.578962594,-2.510846507,-9.868323232,45
Yamanashi,2020年11月第2週,2.138403715,-2.046739264,-3.82586527,46
Yamanashi,2020年11月第3週,2.186354421,-1.568410843,11.607262466,47
Yamanashi,2020年11月第4週,3.792628102,-6.176640832,11.239000994,48
Yamanashi,2020年12月第1週,2.830117607,-3.016770104,-0.209258455,49
Yamanashi,2020年12月第2週,3.838965021,-5.112199075,-9.43581458,50
Yamanashi,2020年12月第3週,3.561855227,-4.495356924,-9.537838884,51
Yamanashi,2020年12月第4週,3.58989271,-1.6912796939999999,-31.124705898,52
Yamanashi,2020年12月第5週,6.306528735,1.004990746,-42.804182404,53
Yamanashi,2021年1月第1週,4.418265667,19.309236212,-71.749305489,54
Yamanashi,2021年1月第2週,7.703988357,-13.140347291,-40.281932709,55
Yamanashi,2021年1月第3週,5.942909893,-3.638058477,-49.185584391,56
Yamanashi,2021年1月第4週,6.404228697,-5.82045448,-43.570804941,57
Yamanashi,2021年2月第1週,5.207795498,-5.563168808,-34.466572398,58
Yamanashi,2021年2月第2週,6.359963441,-9.860106003,-35.205392672,59
Yamanashi,2021年2月第3週,4.53235361,-3.191928856,-35.878086902,60
Yamanashi,2021年2月第4週,7.037318878,-10.531688847,-33.391499524,61
Yamanashi,2021年3月第1週,4.876005265,-4.970535618,-30.506732269,62
Yamanashi,2021年3月第2週,4.138088944,-3.603988878,-30.524868028,63
Yamanashi,2021年3月第3週,4.704758633,-5.03993995,-19.698674243,64
Yamanashi,2021年3月第4週,3.639459602,-1.101030324,-18.097768507,65
Yamanashi,2021年4月第1週,5.054349775,-5.588400793,-15.245733219,66
Yamanashi,2021年4月第2週,2.408396146,-3.725422143,-16.387620255,67
Yamanashi,2021年4月第3週,2.961629111,-3.27141528,-27.751980804,68
Yamanashi,2021年4月第4週,4.087830531,-2.49658079,-22.386428937,69
Yamanashi,2021年4月第5週,6.759836588,-9.665613849,-15.484056047,70
Yamanashi,2021年5月第1週,9.21114233,6.895338165,-61.206488872,71
Yamanashi,2021年5月第2週,4.61056102,2.228228772,-34.473886596,72
Yamanashi,2021年5月第3週,7.814256263,-3.842229639,-38.286993703,73
Yamanashi,2021年5月第4週,7.486114889,-1.866552098,-35.308042542,74
Yamanashi,2021年6月第1週,8.275329162,-5.048570264,-34.605329169,75
Yamanashi,2021年6月第2週,6.935769051,-6.050325119,-34.034800538,76
Yamanashi,2021年6月第3週,7.294368876,-6.716191201,-37.851753614,77
Yamanashi,2021年6月第4週,7.2983208490000004,-6.145635495,-35.5933444,78
Yamanashi,2021年7月第1週,8.43498444,-10.850549564,-41.274941397,79
Yamanashi,2021年7月第2週,3.924560262,-4.187435981,-16.208464866,80
Yamanashi,2021年7月第3週,5.17669173,-4.809265574,-28.886741494,81
Yamanashi,2021年7月第4週,3.192011107,-6.580702576,28.882211275,82
Yamanashi,2021年7月第5週,3.38428697,-4.535130203,-26.40284166,83
Yamanashi,2021年8月第1週,5.132190895,-5.716614892,-28.695284223,84
Yamanashi,2021年8月第2週,9.335268518,-21.355435678,-23.176125492,85
Yamanashi,2021年8月第3週,5.577433214,7.649627097,-67.129431212,86
Yamanashi,2021年8月第4週,5.452139269,-8.444056248,-43.634311933,87
Yamanashi,2021年9月第1週,4.886062178,-9.355574873,-50.759465527,88
Yamanashi,2021年9月第2週,5.134189193,-8.339320433,-36.346727733,89
Yamanashi,2021年9月第3週,5.096973716,-4.278109518,-36.691964075,90
Yamanashi,2021年9月第4週,5.236855407,-6.922766027,-19.224066828,91
Yamanashi,2021年9月第5週,3.115253633,0.287734281,-31.934272293,92
Yamanashi,2021年10月第1週,2.070895218,-2.992048947,-3.505625218,93
Gunma,2020年1月第1週,-0.172361947,-5.751037358,5.387472271,1
Gunma,2020年1月第2週,-2.283516082,-1.776444742,14.573337267,2
Gunma,2020年1月第3週,-1.90661631,-1.094252431,12.373607638,3
Gunma,2020年1月第4週,-2.517189848,1.324276391,12.938769123,4
Gunma,2020年1月第5週,-1.864979489,0.792914312,13.054321132,5
Gunma,2020年2月第1週,0.618423366,-1.171588019,-8.659837196,6
Gunma,2020年2月第2週,1.077369572,-0.269290055,-7.876314141,7
Gunma,2020年2月第3週,1.036128169,-1.7539475,2.68927099,8
Gunma,2020年2月第4週,3.197936859,-9.628916456,-4.461833362,9
Gunma,2020年3月第1週,3.093124421,-6.08083853,-10.297432241,10
Gunma,2020年3月第2週,4.029185656,-7.720844054,-14.230508144,11
Gunma,2020年3月第3週,3.427004143,-6.861378013,-7.884035265,12
Gunma,2020年3月第4週,5.098988792,-8.48702043,-21.748077012,13
Gunma,2020年4月第1週,4.58486905,-8.881063043,-20.550720883,14
Gunma,2020年4月第2週,7.632840934,-15.237954564,-37.611880327,15
Gunma,2020年4月第3週,9.527919257,-20.365418755,-36.336088247,16
Gunma,2020年4月第4週,11.386308892,-23.300201409,-49.820541438,17
Gunma,2020年4月第5週,16.00837289,-10.44253387,-80.613290939,18
Gunma,2020年5月第1週,17.189948697,-46.83174017,-72.925975592,19
Gunma,2020年5月第2週,10.424106304,-18.664702037,-51.158910094,20
Gunma,2020年5月第3週,9.939971005,-14.48335307,-48.511636506,21
Gunma,2020年5月第4週,8.597039778,-12.466270554,-43.824327818,22
Gunma,2020年6月第1週,12.162349358,-23.880734408,-58.312913998,23
Gunma,2020年6月第2週,11.45731337,-21.190546481,-54.254511648,24
Gunma,2020年6月第3週,5.696906954,-5.202984928,-27.710902497,25
Gunma,2020年6月第4週,5.551646488,-5.941902822,-23.857532652,26
Gunma,2020年7月第1週,2.902554271,-1.946009313,-21.903034921,27
Gunma,2020年7月第2週,4.954290476,-4.526948705,-34.166560692,28
Gunma,2020年7月第3週,3.218375974,2.037667803,-25.770675999,29
Gunma,2020年7月第4週,4.414854278,-9.055078857,-14.912574265,30
Gunma,2020年7月第5週,3.730554412,1.698300808,-32.191047822,31
Gunma,2020年8月第1週,4.754430863,0.787348596,-29.42287844,32
Gunma,2020年8月第2週,7.448239265,-0.538924094,-37.655834943,33
Gunma,2020年8月第3週,4.352470277,-4.369494379,-26.335905785,34
Gunma,2020年8月第4週,3.460456283,-2.900973016,-19.895994805,35
Gunma,2020年9月第1週,4.047430903,-3.742267145,-23.321947807,36
Gunma,2020年9月第2週,5.193073269,-3.398759667,-32.600775222,37
Gunma,2020年9月第3週,3.060424746,1.625096582,-15.166826357,38
Gunma,2020年9月第4週,4.41591041,-7.128236493,-3.386094124,39
Gunma,2020年10月第1週,2.499408916,-0.355963162,-7.562359446,40
Gunma,2020年10月第2週,1.233645349,2.821222349,-4.907878851,41
Gunma,2020年10月第3週,2.08429455,3.470224907,-7.796261661,42
Gunma,2020年10月第4週,1.913938996,6.582333358,-6.231817422,43
Gunma,2020年10月第5週,3.206005395,-1.117843037,-14.139155881,44
Gunma,2020年11月第1週,2.695370845,-0.69536928,-11.219655611,45
Gunma,2020年11月第2週,2.249438531,0.269634333,-6.920653108,46
Gunma,2020年11月第3週,1.61809572,2.072153338,-1.716604539,47
Gunma,2020年11月第4週,3.601700652,-6.998680692,-6.687357524,48
Gunma,2020年12月第1週,2.922681882,-2.666061593,-13.950586054,49
Gunma,2020年12月第2週,3.246608336,-3.478165457,-14.16709402,50
Gunma,2020年12月第3週,3.781963808,-4.260213516,-15.999070135,51
Gunma,2020年12月第4週,4.511786757,-3.128512443,-24.559782502,52
Gunma,2020年12月第5週,6.774151243,-3.253032338,-42.019109576,53
Gunma,2021年1月第1週,3.435860289,23.905167791,-61.964598011,54
Gunma,2021年1月第2週,6.761979889,-10.922189695,-34.023157512,55
Gunma,2021年1月第3週,5.28381987,-0.297789345,-35.001424737,56
Gunma,2021年1月第4週,5.71446902,-2.60390162,-31.647048124,57
Gunma,2021年2月第1週,4.955463228,-4.087574859,-28.460695551,58
Gunma,2021年2月第2週,5.651893318,-8.037942387,-30.348315545,59
Gunma,2021年2月第3週,4.004465504,0.627851882,-28.406122688,60
Gunma,2021年2月第4週,5.769157139,-6.966047349,-29.55825664,61
Gunma,2021年3月第1週,4.264822897,-2.79937624,-22.756350567,62
Gunma,2021年3月第2週,3.924926989,-3.132530748,-23.009646187,63
Gunma,2021年3月第3週,4.431136892,-4.91530283,-20.454312825,64
Gunma,2021年3月第4週,2.871529846,0.516935497,-21.573016186,65
Gunma,2021年4月第1週,4.038674819,-2.858947047,-20.415967589,66
Gunma,2021年4月第2週,2.869600318,-2.560767842,-11.778705037,67
Gunma,2021年4月第3週,2.872929663,0.544615316,-14.659676572,68
Gunma,2021年4月第4週,3.913227991,-1.841801778,-19.869773709,69
Gunma,2021年4月第5週,6.001487347,-9.489424526,-18.265853223,70
Gunma,2021年5月第1週,9.188384911,8.59251962,-55.909789382,71
Gunma,2021年5月第2週,4.167903707,1.386888074,-24.86720301,72
Gunma,2021年5月第3週,5.975786092,-2.977649325,-32.606569107,73
Gunma,2021年5月第4週,6.017994102,-1.615354122,-35.400381692,74
Gunma,2021年6月第1週,5.968669928,-2.646779509,-36.794786556,75
Gunma,2021年6月第2週,5.335779055,-4.046792581,-29.460663961,76
Gunma,2021年6月第3週,5.148124051,-1.71763378,-29.526599305,77
Gunma,2021年6月第4週,4.630385999,1.461435107,-25.98985259,78
Gunma,2021年7月第1週,5.177097953,-2.339730595,-29.702169345,79
Gunma,2021年7月第2週,2.746991817,-0.655476086,-16.233689953,80
Gunma,2021年7月第3週,3.292172626,0.4433199,-24.207279337,81
Gunma,2021年7月第4週,1.802692927,-1.926002344,9.845896427,82
Gunma,2021年7月第5週,2.486237675,-1.043542888,-17.356715841,83
Gunma,2021年8月第1週,3.636702691,-0.714235957,-16.746636471,84
Gunma,2021年8月第2週,7.600400949,-18.419417341,-20.933283353,85
Gunma,2021年8月第3週,6.587026243,15.782322977,-55.226496672,86
Gunma,2021年8月第4週,4.174254083,-4.220973092,-28.228400529,87
Gunma,2021年9月第1週,3.959910513,-3.599810498,-31.799264287,88
Gunma,2021年9月第2週,4.091857744,-3.983985668,-24.229507495,89
Gunma,2021年9月第3週,5.484067714,-5.171370521,-29.72917052,90
Gunma,2021年9月第4週,5.469765769,-9.678104778,-26.21185268,91
Gunma,2021年9月第5週,2.726237791,-0.089103012,-23.680588487,92
Gunma,2021年10月第1週,2.129091635,-0.411594223,-10.11649998,93
Ibaraki,2020年1月第1週,0.214643699,-7.513542406,-0.60293351,1
Ibaraki,2020年1月第2週,-1.856292784,-1.154994671,8.284180418,2
Ibaraki,2020年1月第3週,-2.033044431,0.063597851,11.818820867,3
Ibaraki,2020年1月第4週,-2.194517861,0.415116751,9.885945244,4
Ibaraki,2020年1月第5週,-1.532332185,0.566505166,9.498613906,5
Ibaraki,2020年2月第1週,-0.260246966,2.309492826,-3.093950834,6
Ibaraki,2020年2月第2週,0.346036865,-0.680514782,-9.781212844,7
Ibaraki,2020年2月第3週,0.687470107,-1.696672177,-5.034142746,8
Ibaraki,2020年2月第4週,3.527168298,-8.298390447,-11.941147081,9
Ibaraki,2020年3月第1週,3.533758284,-5.086876765,-14.423630884,10
Ibaraki,2020年3月第2週,3.942082176,-5.675694043,-15.671266485,11
Ibaraki,2020年3月第3週,3.554610897,-5.104236099,-7.507398004,12
Ibaraki,2020年3月第4週,5.243226561,-6.8300218599999996,-23.235450246,13
Ibaraki,2020年4月第1週,5.009306683,-9.017434309,-18.557101649,14
Ibaraki,2020年4月第2週,9.096307149,-16.894966686,-37.228031507,15
Ibaraki,2020年4月第3週,10.78333322,-19.90655876,-38.351678371,16
Ibaraki,2020年4月第4週,13.347761322,-25.057828701,-48.04605129,17
Ibaraki,2020年4月第5週,17.380768671,-19.953961929,-74.751535282,18
Ibaraki,2020年5月第1週,19.008519318,-48.594220562,-71.330216568,19
Ibaraki,2020年5月第2週,12.139800541,-21.109115823,-44.947351228,20
Ibaraki,2020年5月第3週,10.963455385,-15.798723413,-43.541368515,21
Ibaraki,2020年5月第4週,9.410330952,-12.779223354,-39.854590279,22
Ibaraki,2020年6月第1週,13.657943667,-24.892464425,-56.804839212,23
Ibaraki,2020年6月第2週,12.637014925,-22.042685171,-53.286370646,24
Ibaraki,2020年6月第3週,6.906716157,-8.919181324,-30.706471594,25
Ibaraki,2020年6月第4週,6.225044836,-8.557529093,-27.483235544,26
Ibaraki,2020年7月第1週,3.878846952,-6.115536579,-14.204762848,27
Ibaraki,2020年7月第2週,6.30784154,-8.535327301,-29.553087811,28
Ibaraki,2020年7月第3週,4.169009146,-3.857405273,-24.622108332,29
Ibaraki,2020年7月第4週,5.932285992,-13.21253403,-7.332802287,30
Ibaraki,2020年7月第5週,4.900651424,-4.155207125,-24.152377956,31
Ibaraki,2020年8月第1週,5.687149042,-4.388931644,-32.794490541,32
Ibaraki,2020年8月第2週,8.141017138,-7.110841069,-41.737267566,33
Ibaraki,2020年8月第3週,5.530801501,-5.971883817,-23.634141275,34
Ibaraki,2020年8月第4週,4.715425646,-3.996400284,-18.584776348,35
Ibaraki,2020年9月第1週,4.7489845,-5.357508323,-21.987652939,36
Ibaraki,2020年9月第2週,4.981859717,-4.316123189,-26.219030279,37
Ibaraki,2020年9月第3週,2.588109362,0.86415814,-13.553040116,38
Ibaraki,2020年9月第4週,4.857270872,-11.028150117,-11.325620583,39
Ibaraki,2020年10月第1週,2.536393445,-1.739553082,-19.959218391,40
Ibaraki,2020年10月第2週,1.391757826,2.597176429,-13.290045579,41
Ibaraki,2020年10月第3週,2.358515192,0.532038624,-12.606863037,42
Ibaraki,2020年10月第4週,1.496242165,3.908914019,-10.8325108,43
Ibaraki,2020年10月第5週,3.264965939,-3.044159379,-14.954597278,44
Ibaraki,2020年11月第1週,3.095264253,-2.311426279,-12.564808736,45
Ibaraki,2020年11月第2週,3.197229284,-1.680629522,-6.904997719,46
Ibaraki,2020年11月第3週,2.337816164,0.021046095,3.903732329,47
Ibaraki,2020年11月第4週,4.694547789,-9.430117733,-11.016231762,48
Ibaraki,2020年12月第1週,3.670023992,-3.997238445,-7.40788676,49
Ibaraki,2020年12月第2週,4.088177578,-5.63078895,-8.075848073,50
Ibaraki,2020年12月第3週,3.953683913,-5.823012871,-9.139878637,51
Ibaraki,2020年12月第4週,4.401062395,-2.849359901,-16.79696083,52
Ibaraki,2020年12月第5週,6.801329063,-3.771928413,-37.467288955,53
Ibaraki,2021年1月第1週,5.333325879,15.349483068,-54.382294452,54
Ibaraki,2021年1月第2週,8.065666158,-14.960739747,-26.761496496,55
Ibaraki,2021年1月第3週,5.703883452,-5.738914917,-31.344692763,56
Ibaraki,2021年1月第4週,7.145464297,-9.520398541,-30.465063574,57
Ibaraki,2021年2月第1週,5.462512482,-6.609531843,-22.118768094,58
Ibaraki,2021年2月第2週,6.088768685,-9.576924231,-19.294321051,59
Ibaraki,2021年2月第3週,4.033567909,-1.773517746,-20.946989265,60
Ibaraki,2021年2月第4週,7.063432825,-12.403324516,-24.017046442,61
Ibaraki,2021年3月第1週,4.874875763,-5.574037436,-18.964314484,62
Ibaraki,2021年3月第2週,4.332535204,-5.093018427,-16.901069898,63
Ibaraki,2021年3月第3週,4.461418987,-5.304878899,-16.290764792,64
Ibaraki,2021年3月第4週,3.63415535,-0.850393494,-14.689105607,65
Ibaraki,2021年4月第1週,4.995887886,-4.840867821,-14.429182277,66
Ibaraki,2021年4月第2週,3.2432339,-5.141867243,-6.820341452,67
Ibaraki,2021年4月第3週,3.613882477,-3.530977562,-8.953155248,68
Ibaraki,2021年4月第4週,4.446182658,-3.96168559,-14.559675388,69
Ibaraki,2021年4月第5週,6.993716927,-12.178989657,-20.367509153,70
Ibaraki,2021年5月第1週,9.526694025,-1.396856833,-46.924008652,71
Ibaraki,2021年5月第2週,3.900248928,0.911770348,-25.691884924,72
Ibaraki,2021年5月第3週,6.88244536,-6.307640258,-28.304349526,73
Ibaraki,2021年5月第4週,6.711306314,-4.923995168,-26.473618212,74
Ibaraki,2021年6月第1週,6.462616399,-5.98111476,-28.037864081,75
Ibaraki,2021年6月第2週,5.585130489,-4.208431362,-23.660765146,76
Ibaraki,2021年6月第3週,5.904105986,-4.977291062,-23.40055247,77
Ibaraki,2021年6月第4週,5.673452597,-5.062576415,-25.985194077,78
Ibaraki,2021年7月第1週,6.450549728,-8.220547282,-29.402249377,79
Ibaraki,2021年7月第2週,2.962022678,-2.611359292,-7.799907932,80
Ibaraki,2021年7月第3週,4.350922047,-2.081564274,-17.551918702,81
Ibaraki,2021年7月第4週,2.637632417,-6.318772273,0.699936915,82
Ibaraki,2021年7月第5週,3.346355541,-1.636445388,-8.339846624,83
Ibaraki,2021年8月第1週,4.114130864,-5.395739182,-22.599099438,84
Ibaraki,2021年8月第2週,8.273118735,-22.571359848,-30.091569021,85
Ibaraki,2021年8月第3週,6.08530079,10.096784358,-52.2430523,86
Ibaraki,2021年8月第4週,5.546645719,-7.734720344,-25.769442438,87
Ibaraki,2021年9月第1週,6.597011733,-9.472035499,-25.330226282,88
Ibaraki,2021年9月第2週,5.544780988,-8.223845883,-15.169990478,89
Ibaraki,2021年9月第3週,5.351900102,-7.521719627,-22.390417924,90
Ibaraki,2021年9月第4週,5.751817957,-10.891920748,-16.950092524,91
Ibaraki,2021年9月第5週,3.269226794,-2.000869757,-21.878683394,92
