"","week","Yamanashi","Gunma","Ibaragi","Tochigi","Nagano","Shizuoka"
"1","2020年1月第1週",-8.01550368,-0.230854753,-6.691429943,-7.420921623,-8.080304191,-3.105810674
"2","2020年1月第2週",-4.687989325,-2.285599143,-3.028394168,-9.839000932,-7.556710018,-4.478782345
"3","2020年1月第3週",-6.764005522,3.24702333,-2.489891712,-7.064713977,-2.137822013,-3.819798083
"4","2020年1月第4週",-0.678182298,5.975943258,2.734368236,-1.229192488,5.504448502,2.639338169
"5","2020年1月第5週",-5.805434574,-0.304457168,3.523025133,-5.22926598,-0.136266513,-0.348095979
"6","2020年2月第1週",-10.026661504,-3.823966337,3.832124188,-2.769067925,-9.119350405,-4.231370774
"7","2020年2月第2週",4.696892037,9.101489814,11.736586186,3.19429184,3.564069554,5.332259787
"8","2020年2月第3週",6.983863844,5.77219484,1.841845583,-4.873975068,-0.019396793,-0.516870306
"9","2020年2月第4週",-7.433359436,-4.975000252,-13.647868622,-19.638723169,-13.18145172,-14.309897591
"10","2020年3月第1週",-18.755143092,-14.032365705,-16.83485623,-20.959512319,-20.69764469,-20.202320147
"11","2020年3月第2週",-21.184163823,-11.154707983,-12.518455238,-12.383466178,-15.760494748,-12.810196284
"12","2020年3月第3週",-5.008611094,-10.310476406,-7.859119142,-9.949683759,-13.840748185,-5.77022105
"13","2020年3月第4週",-30.556088102,-25.591598408,-27.148713761,-28.373487537,-26.646892233,-24.541077
"14","2020年4月第1週",-55.898318043,-42.117304121,-46.069045606,-46.487184788,-47.310457048,-48.804023544
"15","2020年4月第2週",-64.865534955,-51.334424251,-56.897899034,-56.065627399,-62.076990444,-60.500410488
"16","2020年4月第3週",-61.920026038,-51.671223912,-57.331941193,-55.801757461,-63.544607369,-60.559319678
"17","2020年4月第4週",-75.463393364,-57.138147517,-63.67527041,-65.854847593,-71.853063039,-68.699868284
"18","2020年4月第5週",-85.300651297,-68.972456938,-73.00153027,-76.752142074,-81.927852605,-79.975602105
"19","2020年5月第1週",-61.918842449,-38.010588816,-43.714683661,-46.429485823,-55.939701053,-51.681470428
"20","2020年5月第2週",-66.157092603,-46.841973053,-50.205577033,-51.308010928,-59.430113144,-57.158920998
"21","2020年5月第3週",-58.548025202,-27.554114968,-37.451944105,-42.363879479,-52.137173621,-47.672054756
"22","2020年5月第4週",-52.301211352,-31.196058209,-31.333202275,-36.321306948,-45.468652978,-41.118349422
"23","2020年6月第1週",-47.224102406,-29.135090964,-23.639699112,-32.049953246,-38.977741876,-32.225219361
"24","2020年6月第2週",-39.612825631,-23.914655412,-19.864053879,-25.673836963,-29.165500063,-26.416474554
"25","2020年6月第3週",-22.876750232,-18.605838366,-9.965806399,-17.1703232,-17.622708894,-13.856658805
"26","2020年6月第4週",-17.985407861,-17.589807481,-12.860397526,-17.707089707,-16.538001247,-11.202007774
"27","2020年7月第1週",-23.148581166,-16.626018832,-15.234905753,-20.700277526,-23.938660002,-16.217987122
"28","2020年7月第2週",-33.848525847,-17.391704511,-15.848076573,-23.92502053,-27.282566457,-24.713493052
"29","2020年7月第3週",-7.851154688,-8.494700572,-8.898517055,-17.226416464,-20.40306843,-14.727113046
"30","2020年7月第4週",-3.176500474,6.318277237,7.96460177,-0.566943902,-5.205683316,-2.856563346
"31","2020年7月第5週",-36.372401448,-15.187858287,-17.086096216,-26.733412644,-33.303080973,-33.047424169
"32","2020年8月第1週",-22.559349273,-16.564180796,-16.395496794,-16.030047022,-31.180464923,-27.443547627
"33","2020年8月第2週",-37.986699093,-39.872590744,-35.787828431,-40.051600111,-45.105106296,-42.252078357
"34","2020年8月第3週",-21.338648401,-20.18090923,-12.84695574,-18.667717161,-26.9451984,-23.210408845
"35","2020年8月第4週",-17.232230438,-9.799688769,-13.691556217,-13.185701817,-25.202397381,-18.865488076
"36","2020年9月第1週",-17.847761288,-17.65023405,-12.531091807,-15.04698821,-26.374769101,-16.289779634
"37","2020年9月第2週",-12.88922954,-12.267085384,-7.980622005,-15.18405311,-19.79896114,-10.622423218
"38","2020年9月第3週",15.331461432,-14.229372952,0.063083881,-4.518930764,0.647778652,3.682883352
"39","2020年9月第4週",25.288080485,-7.049279361,0.924361216,-1.551292302,6.518844944,6.060776396
"40","2020年10月第1週",1.322564744,-17.215681386,-9.391010689,-13.488279224,-10.532286213,-3.928215744
"41","2020年10月第2週",40.546006067,12.950675255,25.213952247,22.965849055,23.816643704,28.640662932
"42","2020年10月第3週",25.748834456,1.104964446,3.396336825,5.241495777,27.043286307,3.250927193
"43","2020年10月第4週",17.93804563,-5.142365125,-2.451696736,-3.287520279,11.17281057,-1.179363097
"44","2020年10月第5週",6.105343834,-6.936036163,-7.260835187,-11.943200148,3.677401997,-3.307058917
"45","2020年11月第1週",15.863051434,-6.020579674,-1.861920108,-3.109395481,14.16473108,5.237437945
"46","2020年11月第2週",8.40141555,-12.28551794,-10.387973408,-4.560282989,1.197440255,-5.641824899
"47","2020年11月第3週",18.373313728,-11.552796404,-5.816776563,-3.394078317,-0.249151516,-4.169385
"48","2020年11月第4週",0.221617332,-15.124873044,-15.669715364,-9.812546232,-10.796363335,-13.868875169
"49","2020年12月第1週",-10.937347788,-25.886712056,-28.139730946,-19.684014079,-20.252378982,-23.408115912
"50","2020年12月第2週",-16.903880996,-13.744087521,-25.356244021,-21.208604703,-19.276061669,-24.338028169
"51","2020年12月第3週",-15.176312596,-27.263648242,-24.138885403,-24.043908009,-24.661704027,-25.376498631
"52","2020年12月第4週",-19.16679251,-30.542980839,-20.988034434,-24.655304848,-25.384641138,-28.031343457
"53","2020年12月第5週",-25.958729439,-30.020944812,-23.188010102,-29.456225016,-31.870487053,-30.129106801
"54","2021年1月第1週",-42.760312603,-36.099605977,-32.132284117,-43.427182055,-43.589941805,-42.136874839
"55","2021年1月第2週",-39.960922076,-36.520090445,-39.192935544,-49.688171599,-43.413691059,-43.444323577
"56","2021年1月第3週",-39.767704019,-43.847971838,-43.950304333,-53.501927865,-44.533435554,-47.354179802
"57","2021年1月第4週",-22.281844683,-26.319842,-25.838486289,-29.408802654,-24.333963466,-25.178349781
"58","2021年2月第1週",-31.832375024,-38.259284569,-34.734514388,-39.729669818,-34.294536658,-33.594660418
"59","2021年2月第2週",-32.718564209,-37.464259064,-29.827327516,-38.140660461,-32.382350993,-38.008879902
"60","2021年2月第3週",-25.394902381,-37.473926465,-28.442976376,-36.766630042,-26.966546441,-32.81528152
"61","2021年2月第4週",-22.77757274,-32.926469272,-25.00966534,-31.39731002,-20.069584609,-34.254206256
"62","2021年3月第1週",-25.239154268,-33.00407758,-28.431356708,-36.272091033,-22.592312844,-33.010702287
"63","2021年3月第2週",-22.356736308,-26.290443505,-27.85871709,-33.184854085,-22.864082324,-29.637569387
"64","2021年3月第3週",-21.966143345,-29.422262973,-27.985939558,-31.278282049,-25.91868555,-30.205079433
"65","2021年3月第4週",-21.470764287,-29.028042677,-25.806427017,-31.431997364,-29.182858949,-30.013302392
"66","2021年4月第1週",-15.661614474,-29.713787571,-23.663576553,-31.250801659,-26.435698643,-24.031523639
"67","2021年4月第2週",-27.324668705,-29.579972766,-23.660380107,-32.722467942,-27.546651395,-24.722133405
"68","2021年4月第3週",-26.594197846,-29.547103365,-14.923356677,-32.313201221,-35.303039892,-31.521225915
"69","2021年4月第4週",-33.093498571,-37.26315055,-28.199638606,-32.794529003,-44.512055366,-35.383611137
"70","2021年4月第5週",-28.464240759,-26.151647769,-25.518216019,-30.823299787,-35.861365549,-29.263660695
"71","2021年5月第1週",-53.709270673,-49.172378162,-42.209394943,-50.719602233,-59.452763069,-51.422973269
"72","2021年5月第2週",-39.332733449,-45.652493897,-34.171782512,-42.409162374,-43.076385992,-40.895453937
"73","2021年5月第3週",-41.24528339,-44.766385019,-33.35601621,-38.447368238,-45.970010495,-41.135225266
"74","2021年5月第4週",-36.202708523,-44.120472132,-29.861436594,-33.693403122,-42.93415184,-35.925806428
"75","2021年6月第1週",-33.82655358,-45.004539869,-32.059881809,-35.78375344,-41.214305067,-36.335392403
"76","2021年6月第2週",-39.318953246,-43.189417352,-28.605831986,-37.820418103,-41.694894435,-36.295050381
"77","2021年6月第3週",-39.31060955,-42.632996398,-31.146669945,-37.856273429,-38.714745245,-39.157951841
"78","2021年6月第4週",-38.377204431,-44.70856102,-34.292416348,-36.998252744,-39.364736419,-40.323021406
"79","2021年7月第1週",-25.524587116,-43.249872179,-34.779646383,-38.053336613,-40.233789,-42.268565149
"80","2021年7月第2週",-27.537587417,-40.323082505,-31.742707508,-39.614831068,-39.891272421,-39.798841734
"81","2021年7月第3週",-34.135336341,-43.667574932,-36.821864846,-43.593259057,-33.958111716,-44.88049361
"82","2021年7月第4週",-13.147115396,-36.69878899,-24.245809345,-31.971200922,-26.333061808,-34.11323182
"83","2021年7月第5週",-33.091627466,-44.600976896,-35.981818962,-42.20812815,-41.161751751,-43.090133464
"84","2021年8月第1週",-35.999959318,-42.819481949,-35.473376658,-41.58735598,-39.240077196,-43.198582408
"85","2021年8月第2週",-35.596142934,-32.998882176,-26.50009158,-31.050518027,-38.558352403,-38.296768446
"86","2021年8月第3週",-74.605178414,-75.358744076,-68.967566738,-75.315259359,-77.085276723,-78.687335495
"87","2021年8月第4週",-44.470463744,-51.900723614,-40.54935748,-51.234129824,-53.53105847,-61.097146424
"88","2021年9月第1週",-50.001378783,-51.389096868,-47.240424805,-50.37556309,-49.479299092,-58.984512862
"89","2021年9月第2週",-39.53551078,-48.416357653,-41.77658356,-30.969174272,-43.87828661,-53.436058427
"90","2021年9月第3週",-37.951301748,-46.818690767,-41.254250844,-37.898874185,-40.630905716,-51.786623626
"91","2021年9月第4週",-30.814277041,-46.331472534,-34.240735535,-35.709579997,-32.574972522,-45.13987681
"92","2021年9月第5週",-34.108630555,-48.861193272,-37.838291575,-39.814454935,-35.057080347,-47.756563395
"93","2021年10月第1週",-24.88403544,-40.059755162,-28.316329635,-29.869694398,-30.571456273,-34.549711856
